,Position,Advancement of f/g/h Pawns,Advancement of a/b/c Pawns,Pawn Play in the Center
"""STS(v9.0) Advancement of a/b/c pawns.068""",b2qr2k/2p3pp/8/1p3p2/2p2B2/2Pp1PPP/5QB1/R6K b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.069""",r1b2k2/ppq2p1p/1np3p1/4p3/2n5/3N2P1/P1Q1PPBP/R2R2K1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.070""",r1bq1r2/1pp3bk/3p1npp/1N1Ppn2/PBP1N3/1Q1B4/5PPP/R4RK1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.071""",r1r3k1/3nqpp1/1pp1pn1p/p2pN3/2PP1Q2/1P4P1/P2BPPKP/2RR4 b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.072""",r1r3k1/p3pp1p/3p2pb/R1nP4/4PP2/2Pp4/1P1N2PP/2BR2K1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.073""",r1r4k/1q1nbpp1/2bp1n1p/pp2pP2/4P3/P1N2BQ1/1PPN1BPP/2R1R1K1 b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.074""",r2q1nk1/1p2rppp/p1p5/3p3b/PP1P4/2NBP3/2Q2PPP/2R2RK1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.075""",r2rn1k1/3nqppp/1pp1p3/3p4/pPPP4/P2QN1P1/1B2PP1P/2RR2K1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.076""",r3kr2/pp1b1pp1/2p1p2p/4q3/7Q/2PBPR2/PP4PP/2KR4 b q -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.077""",r3r1k1/1p3pp1/1qp1b2p/p1Rn4/3p4/P2P1BP1/1P1BPP1P/2Q1R1K1 b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.078""",r3r1k1/1pb1qpp1/2p1b2p/p3P3/4Q3/2B1PN1P/PP3PP1/3RR1K1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.079""",r3r1k1/pn1qnppp/1p2p3/3pP3/b1pP4/B1P2N2/R1PQBPPP/R5K1 b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.080""",r3rbk1/1npq1pp1/p2p3p/1p6/1P1P4/P1R1BN1P/5PP1/3QR1K1 b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.081""",r3rbk1/1qpn1pp1/p4n1p/1p2pN2/2P1P3/5N2/PPQB1PPP/R3R1K1 b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.082""",r3rn1k/1q2b1p1/pp1p1n1p/4pQ2/P3P3/1NN1BR2/1PP3PP/5R1K b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.083""",r4rk1/1p4bp/2qp1np1/p1n1p3/2P5/P1B1N3/1PB2PPP/R2Q1RK1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.084""",r4rk1/2Q2ppp/4p3/p3P3/q1P5/P5P1/5P1P/2R1R1K1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.085""",r4rk1/2qb1ppp/p2pp3/1pn3P1/3RPP2/P1N2Q2/1PP3BP/2KR4 b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.086""",r4rk1/4bppp/b3pn2/1p1q2B1/3p4/3B1N2/PP2QPPP/R2R2K1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.087""",r4rkb/p2bp2p/2nq2pP/1p6/2pP4/2P1B1N1/P1B2PP1/2RQR1K1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.088""",r5k1/1pp1r1pp/3pbpq1/pB2n3/P1P5/1P2BP2/2PQ2PP/2KRR3 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.089""",r5k1/1rpn1pbp/p2pp3/1p4Np/2PP4/1PN1P1P1/P4PK1/2RR4 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.090""",r5k1/2p1qp2/1p1p2bp/p1nPr1p1/2P5/PP2P1N1/1Q1B2PP/3R1RK1 b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.091""",r5k1/5q1p/2ppNr1b/2pPp1pP/p1P3P1/P7/1PQ1RPK1/1R6 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.092""",rr2q1k1/3bnpb1/ppp3pp/3p4/1P1P4/PQ1BP1NP/1NR2PP1/3R2K1 b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.093""",1r1rb1k1/pp3pbp/4p1p1/1P2P3/2PBQ3/q7/P3B1PP/2R2R1K b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.094""",2r1k2r/1n2ppb1/p2p2p1/1p1P3p/8/1P2BP1P/P1P1BP2/2KR2R1 w k -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.095""",2r2rk1/1pqn3p/p2p1npb/N2Pp3/2P2p2/Q4PP1/PP2BBKP/3RR3 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.096""",2r3k1/p1q1bpp1/2p2n2/2Np3r/1P1B3p/P1Q4P/5PP1/2R1R1K1 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.097""",3r2k1/4rppp/2ppbn2/Nq2p3/4P3/1P2Q1PP/P1PR1PBK/4R3 w - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.098""",r6k/p3Npb1/qp4pp/4p3/1B6/1PP3P1/P2R1P1P/3R2K1 b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.099""",r6r/4p1k1/3q1p2/p1pPn1p1/1p2P2p/4Q3/PP2BPPP/1R2R1K1 b - -,0,1,0
"""STS(v9.0) Advancement of a/b/c pawns.100""",rq4kb/5p1p/3p1Pp1/p2Pp1P1/3pP1bP/1P6/P1Q2R2/4BBK1 w - -,0,1,0
"""STS(v13.0) Pawn Play in the Center.001""",1k1r4/1p3p2/p1bq1p1p/4p3/3r1P1Q/P5P1/1PP1B2P/K2RR3 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.002""",1k2r1r1/ppp1q1b1/nn1pp3/1N3p1p/1PP2P2/PQ2B1PB/4PK1P/3R2R1 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.003""",1kr3r1/1p1nqp2/p2p4/3PpBp1/1PP5/5R1P/P3QP2/R5K1 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.004""",1q1r2k1/3n1bp1/1p2pp2/pNn5/P3PP2/1P2QB2/6NP/3R2K1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.005""",1q2rrk1/p5bp/2p1p1p1/3p4/5P2/4QBP1/PPP2R1P/1R4K1 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.006""",1qr1r1k1/5pp1/1p2p2p/1Qbn3b/2R5/3P1NPP/3NPPB1/1R4K1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.007""",1qr1r3/5ppk/1p2p2p/1Qbn3b/2R5/3P1NPP/3NPPB1/1R5K w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.008""",1r1r2k1/1p3pp1/pNn1b2p/3p1q2/5B2/P7/1P1Q1PP1/2R1R1K1 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.009""",1r1r2k1/p1R2ppp/1p6/2n1p1q1/3P4/Q4PP1/PP2B2P/3R2K1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.010""",1r1rb1k1/2q1bp1p/3ppnp1/8/pn1NPP2/2N2R1P/1PP1B1P1/2QR2BK b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.011""",1r2r1k1/2qn1pb1/3p2pp/p1pP4/PpQ1PP2/1P4PP/1B4B1/3RR1K1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.012""",1r2r1k1/p2bp1b1/2p1nnpp/qpP2p2/3P3P/P1N1PBPN/1BQ2P2/1R2R1K1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.013""",1r2r2k/5pp1/1n2qn1p/3p4/p1pR4/Q3PBNP/PP3PP1/3R2K1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.014""",1r3k1r/1q2bpp1/4pn2/1p4p1/p1pPP1P1/P3P2P/1PQ4R/K1R1BB2 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.015""",1r3rk1/1p1qbbp1/2n1pn1p/1Np5/2P5/2BPP1PB/2N1Q2P/1R3RK1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.016""",1r3rk1/1p3ppp/pN2bn2/P1p5/4P3/2P5/1P2B1PP/R4RK1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.017""",1r4k1/1br3p1/1ppbp3/p2p1q1p/P1PP1Pp1/1P2P1P1/1Q3NBP/2RR2K1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.018""",1r6/pp1rqpbk/6p1/P2Bpb2/2P4p/1QN1P1P1/P2R1PKP/3R4 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.019""",1rb1r1k1/2n1ppbp/pq1p2p1/1ppP4/2P1PP2/NP3B1P/P2B1QP1/2R1R1K1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.020""",1rb2r1k/2q1bppp/p1pppn2/P7/4P3/1PNQ4/2P1BPPP/R1B3RK b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.021""",1rb2rk1/2q2pb1/3p1np1/1pnP2Bp/4P3/1pN2PN1/3QB1PP/1RR3K1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.022""",1rnr2k1/2Rb2bp/3p2p1/2pPpp2/1p5P/1P1PP1P1/3B1PK1/R4BN1 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.023""",1rnrbk2/2R3bp/3p2p1/1ppPpp2/7P/3PP1P1/1P1B1PK1/R2N1B2 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.024""",1rr5/p2bppkp/3p1np1/p1p5/Pq1PP3/1P2QN1P/2P1NPP1/2R1R1K1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.025""",2b1k1r1/3nppb1/2pp1npp/qp6/3PP2B/1RNB1N2/P1PQ1PPP/7K w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.026""",2b1r1k1/pp2rppp/2p3q1/3p4/1P1P4/P1N1PP2/5QPP/4RRK1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.027""",2br1r1k/4b1pp/pq2pn2/2p5/Pp2PN2/1B2BP2/1PQ2P1P/R5RK b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.028""",2kr4/1p3p2/p1bqpp1p/8/3r1P1Q/3B2P1/PPP4P/K2RR3 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.029""",2r1r1k1/1pqn1pp1/p2b1n1p/P2Ppb2/R7/2NNB3/1PPQBPPP/3R2K1 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.030""",2r1r1k1/3n2pp/b1p1pb2/1pPp1p1q/p2PnB1P/P4NP1/1PQNPPB1/R2R1K2 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.031""",2r1r1k1/5npp/3q4/1QpP1p2/1p6/4PP2/1B2R1PP/2R3K1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.032""",2r1r1k1/qp2ppb1/p1np1npp/5b2/2P5/PPN3PP/1BN1PPBK/1RQR4 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.033""",2r2nk1/2q1pp1p/3p2p1/pr6/2P1PP2/1PR3PP/3Q2B1/3R2K1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.034""",2r2rk1/pp2qpp1/2nbp2p/2Np1b2/1P1Pn3/P3PN2/3BBPPP/R1RQ2K1 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.035""",2r3k1/4n1b1/1p1pq1p1/4p3/2r2P1P/P2NP3/1B1Q3P/4RRK1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.036""",2r3k1/4Qp1p/3p2p1/3q4/b1p5/P1b3P1/R3PP1P/1R3BK1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.037""",2r4r/2qb1nk1/3ppp2/p1p5/P3P3/1PR3P1/3NRPK1/3Q1B2 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.038""",2rbr1k1/1p1nqp1p/4bn1P/pP2p1p1/N7/P1NRPP2/1Q2BBP1/1K5R w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.039""",2rq1rk1/6bp/p1npb3/1p1Npp1Q/8/2PBN3/PP3PPP/R3K2R b KQ -,0,0,1
"""STS(v13.0) Pawn Play in the Center.040""",2rqr2k/pp3pp1/1nb2n2/7p/3pPP2/1P1B2NP/P5P1/RQB2R1K w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.041""",2rrb1k1/1p3pp1/p1p4p/P5q1/2BP4/1P1RPQP1/5P2/3R1K2 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.042""",3qr1k1/1p2npb1/2ppb1pp/4p3/1PP5/R1NP2P1/2NQPPBP/6K1 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.043""",3r1k2/5p2/1p2q1p1/p2p4/P7/1P1Q3P/4nPP1/B2R3K b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.044""",3r1r2/1b2qpkp/p2p1np1/1pp5/4P3/P1N1QB2/1PP2PPP/3R1RK1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.045""",3r1rk1/ppqnppb1/n1p3pp/8/N2P4/3QP1P1/PP1B1PBP/R4RK1 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.046""",3r2k1/1pp1q2p/p5pb/2n1p2r/5PQ1/P1PP3P/1P5K/1BBR1R2 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.047""",3r2rk/1q2b2p/pNb2p2/P4Qn1/1p1p4/4PP2/1P1BB2P/2R2R1K w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.048""",3rr1k1/1p3p1p/2b1pqp1/p3N3/2PP4/4R1P1/P2Q1P1P/4R1K1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.049""",3rr1k1/pp4bp/2p3p1/P4p2/2qPP3/B1P4P/2P3P1/R3QRK1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.050""",4b3/3k1n2/2pB1p1p/1p3Pp1/1P2P1P1/8/r3BK2/3R4 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.051""",4r1k1/1p1r1ppb/1qpp1n1p/p7/P1PRPN2/2Q2P2/1P4PP/1B1R2K1 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.052""",4r1k1/1r2ppnp/1q4p1/ppp5/3nP3/1P2QP2/P2R1BPP/2R2B1K b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.053""",4r1k1/2qn1pb1/rn1p2pp/2p5/p1b1PPP1/R1N1B2P/1PP1NQB1/R6K b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.054""",4r3/2qnr1k1/4ppp1/p1p4p/p1P2P1P/3PQNP1/1P2R3/4R1K1 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.055""",4rrk1/p4p1p/1qb3p1/2pp4/8/1P3B2/P1PQ1PPP/R3R1K1 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.056""",5k2/4pp1p/r2p2p1/8/6P1/5P2/1R3B1P/2r2BK1 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.057""",5rk1/1ppqnr2/3p3p/1P4p1/3PPp2/5P2/P2QN2P/2R3RK w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.058""",5rk1/1r2bpp1/pp2qn1p/2p5/P7/2N1PPP1/1PQB2KP/2RR4 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.059""",5rk1/6p1/2pp4/4q1p1/1PP1PnP1/4Q2P/R7/5BK1 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.060""",5rk1/rbqnbppp/1p2pn2/2p5/4P3/P1P2NPP/1B1N1P2/R2QRBK1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.061""",r1b1kb1r/1p1ppppp/p2q2n1/2pN3Q/8/8/PPPP1PPP/R1B1RBK1 w kq -,0,0,1
"""STS(v13.0) Pawn Play in the Center.062""",r1b1r1k1/4q1pp/1bp1pp2/np6/3PN3/3NP1PB/R1Q2P1P/3R2K1 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.063""",r1b1r1k1/ppq2pp1/2n1pn1p/8/2P5/PN4P1/1BP2PBP/R2Q1RK1 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.064""",r1b1r3/pp1nq1kp/2pp2p1/5p2/1PP2P2/1Q2P1PP/P2N2B1/3R1RK1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.065""",r1b2rk1/1p1n1p1p/p5p1/q2p2B1/1bpP4/2N1PN1P/PPQ2PP1/2R2RK1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.066""",r1b2rk1/1p3pb1/pq1Pp1p1/5n1p/2B2P2/1NP2Q2/PP1P2PP/R1B1K2R b KQ -,0,0,1
"""STS(v13.0) Pawn Play in the Center.067""",r1b2rk1/p1B1bpp1/q3pn1p/3p4/8/2N3PP/PPQ1PPB1/R3R1K1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.068""",r1b3k1/1p1n1qpp/2p1p3/3p1r2/2PP4/1PR5/2QNPPBP/5RK1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.069""",r1br2k1/1p3ppp/p1p5/P5q1/1bBP4/1P2P3/1BQ2PP1/R2R2K1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.070""",r1q1nrk1/pp2ppbp/2n3p1/8/Q3P3/N5P1/PB3PBP/3RR1K1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.071""",r1r1q1k1/1n1b2bp/p4pp1/1p6/2pNP2B/Q1P5/P1B2PPP/3RR1K1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.072""",r1r3k1/1pp2ppp/2np1n2/1N6/p1PP4/Q3RNPq/PP3P1P/2R3K1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.073""",r2q1kr1/1b2np2/p2p1p1p/4p3/2N1P3/3B4/PP3PPP/1R1Q1RK1 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.074""",r2q1rk1/1p1n1ppp/6b1/n2B4/Ppp2NP1/4PP2/1P4KP/R1BQ1R2 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.075""",r2q1rk1/4nbbp/p2p4/1p3p1Q/4pN2/1BP1N3/PP3PPP/R3K2R b KQ -,0,0,1
"""STS(v13.0) Pawn Play in the Center.076""",r2qr1k1/1b3pb1/p2p2p1/8/2BNn1P1/2p1B3/P1P5/1NKRQR2 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.077""",r2r1k2/4q1p1/2b2p1p/ppP1pQ2/8/1P2PB2/5PPP/R1R3K1 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.078""",r2r2k1/1b2qppp/p3pn2/R7/2N5/1P1BP3/2Q2PPP/R5K1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.079""",r2r2k1/1bq2p1p/p3nnpQ/P2pp3/8/2PNN3/1P3PPP/R2R1BK1 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.080""",r2r2k1/6bp/1P2q1p1/4pp2/p1N5/2Q5/PPR3PP/4R2K b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.081""",r2r2k1/p1q3pp/1p1npp2/2p5/P1PP4/B3PP2/6PP/2RQ1RK1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.082""",r2r2k1/pbq2ppp/1p3n2/4p3/2PP4/PB1Q4/1B3PPP/R4RK1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.083""",r2r2k1/pp2ppbp/2q3p1/2pnP3/2Q5/1P4P1/PB2PPNP/R2R2K1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.084""",r2r2k1/ppq1p2p/1np1p1p1/2B5/P7/3P3P/1P2QPP1/R3R1K1 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.085""",r2r2k1/ppq2pp1/2p1pnbp/8/3P3P/1QP2P2/P3P2P/R1B2BRK w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.086""",r2r2k1/ppq2pp1/5nnp/1B3b2/2PPp3/P6P/1B1NQPP1/2R2RK1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.087""",r2r3k/p2qppbp/1pn2np1/2p5/2P2P2/B1N1PN2/P2PQ1PP/3R1R1K w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.088""",r2r4/2q1bp1k/1nb1p1pp/p1ppP3/P1P2P2/1P3BPP/1N2QB2/2RR2K1 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.089""",r3kb1r/1q1n2p1/2bpp1Pp/pN3p2/1p1BP2P/P2B1P2/1PP5/2KR1Q1R b kq -,0,0,1
"""STS(v13.0) Pawn Play in the Center.090""",r3r1k1/1p2bppp/nqp2n2/p5B1/2bPP3/P1N3P1/1P2N1BP/R1Q2RK1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.091""",r3r1k1/1p2qpp1/1bp2n1p/2n1pP2/p5P1/B6P/PPPNQPB1/R2R2K1 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.092""",r3r1k1/4npbp/bqnpp1p1/2p3P1/1p2PP2/3PN3/1PPQNBBP/1R3RK1 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.093""",r3r1k1/5pp1/1qp3bp/p2pP3/8/P1Q3N1/1P3PPP/2R1R1K1 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.094""",r3r1k1/pp4pp/2pnqpn1/3p1b2/3P4/P1NBPN2/1PQ2PPP/2R1R1K1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.095""",r4r1k/1bq3p1/pp1bpn1p/2pp4/3P3Q/1NP1B3/PP2BPPP/R4RK1 b - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.096""",r4rk1/1p1qppbp/1n1p2p1/1PpP3n/p3P3/2NQ1N1P/1PPB1PP1/R3R1K1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.097""",r4rk1/2p1bppp/p2p1n2/1p6/3PP3/1QN1BP1q/PP3P1P/2R1R1K1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.098""",r4rk1/3qbppp/p1np1n2/1pp4b/3PP3/PB2BN1P/1P1N1PP1/RQ2R1K1 w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.099""",r4rk1/pbp5/1p1p1n1p/5Bp1/P1PP4/4q3/1P1N2PP/2RQ1R1K w - -,0,0,1
"""STS(v13.0) Pawn Play in the Center.100""",rq3k2/1p3bp1/2p1pp1p/2P5/1P2PPP1/4Q2P/6BK/3R4 b - -,0,0,1
