FEN,white_knight_reachable_outpost,black_bishop_minor_behind_pawn,white_rook_trapped,black_queen_present,white_king_pawnless_flank,black_passed_pawns,white_knight_outpost,black_bishop_outpost,white_rook_on_file,black_queen_weak,Move,Layer Outputs Index,Layer Outputs File
rnb1kbnr/pp3ppp/2pp2q1/4P1B1/2P5/2N2N2/PP2PPPP/R2QKB1R b KQkq - 0 6,0,1,1,1,0,0,0,0,0,0,b8d7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_262.npy
r1bqk2r/ppp2ppp/2n1pn2/8/1bpPPB2/2N2N2/PPQ2PPP/R3KB1R b KQkq - 2 7,0,0,1,1,0,0,0,0,0,0,b7b5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_263.npy
r3kb1r/1p3ppp/p1n5/q3pPP1/3p4/P5NP/1PPQ1PB1/R3K2R b KQkq - 0 16,0,1,1,1,0,0,0,0,0,1,a5c7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_264.npy
rn1qkb1r/ppp1pppp/4n3/6N1/8/8/PPPP1PPP/RNBQK2R w KQkq - 0 7,0,1,1,1,0,0,0,0,0,0,g5e6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_265.npy
r2qkb1r/1pp1n1p1/p1n1p1pp/3pN3/3P1BP1/2NQP2P/PPP2P2/R3K2R w KQkq - 4 12,0,0,1,1,0,0,0,0,0,0,e5c6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_266.npy
2k5/p1p2ppp/8/1Q3n2/8/NPq1r3/P1Pr1PPP/1R3K1R w - - 0 19,1,0,1,1,0,0,0,0,0,0,b5f5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_267.npy
rn2k2r/p1p2ppp/1p1bpq2/6B1/3P4/2PB1b2/PP3PPP/R2QK2R w KQkq - 0 10,0,0,1,1,0,0,0,0,0,0,d1d2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_268.npy
rn5k/3qbr1p/2pp1n1B/p4N2/Pp1pP3/5PQ1/1PP3PP/R3K2R b KQ - 2 19,0,0,1,1,0,0,1,0,0,0,f6e8,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_269.npy
1k5r/p1prbppp/2Q5/1N2P2q/1P1P1Bbn/2P2N2/P5PP/R4K1R w - - 5 18,0,0,1,1,0,0,0,0,0,0,e5e6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_270.npy
r1bqkb1r/p1p2ppp/4p3/3pP3/3P4/5N2/PP3PPP/R1BQK2R b KQkq - 1 10,0,1,1,1,0,0,0,0,0,0,c7c5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_271.npy
r1bqk2r/pp3ppp/2n2n2/2bPp3/8/5N2/PP2PPPP/RNBQKB1R w KQkq - 0 7,0,0,1,1,0,0,0,0,0,0,b1c3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_272.npy
2Qqkb1r/r2n1ppp/p2pp3/3NP3/8/5N2/PP1B1PPP/2R1K2R b Kk - 0 15,0,1,1,1,0,0,0,0,0,0,e6d5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_273.npy
rn3rk1/1p1q1pp1/4bp1p/p1P5/Pb1p4/2NBP1N1/1PPQ1PPP/R3K2R w KQ - 0 12,0,0,1,1,0,0,0,0,0,0,e3d4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_274.npy
r2qkb1r/pp2pppp/2n2n2/1Bpp4/3P1B2/4P3/PPP2PPP/R2QK1NR w KQkq - 1 7,0,1,1,1,0,0,0,0,0,0,c2c3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_275.npy
r2q1rk1/3b1ppp/4p3/1p6/1bPQ4/8/PB2BPPP/R4K1R b - - 2 18,0,0,1,1,0,0,0,0,0,0,e6e5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_276.npy
r3kb1r/1p1qpppp/p7/3pP2n/5Bb1/1QN1P3/PP3PPP/R3KB1R w KQkq - 0 11,0,0,1,1,0,0,0,0,0,0,h2h3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_277.npy
rnbqk2r/pp1nbpp1/4p2p/3p4/3P3B/2N1PN2/PP3PPP/R2QKB1R w KQkq - 1 9,0,1,1,1,0,0,0,0,0,1,h4g3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_278.npy
r2qkbnr/ppp2ppp/2np4/1B2p3/4P1b1/3P1N2/PPP2PPP/RNBQK2R w KQkq - 1 5,0,0,1,1,0,0,0,0,0,0,b1c3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_279.npy
2kr3r/ppp2ppp/2n2n2/3p2B1/PP2b1P1/1BP2NqP/3N4/R2Q1K1R w - - 2 17,0,0,1,1,0,0,0,1,0,0,d1e2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_280.npy
2r1k2r/1R2np1p/B4p2/4pP2/8/q7/P1PQ1PPP/4K2R b Kk - 0 18,0,0,1,1,0,0,0,0,0,0,e8g8,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_281.npy
rn1qk1nr/pppbbppp/4p3/3pN3/3P4/4P3/PPPB1PPP/RN1QKB1R b KQkq - 5 5,0,1,1,1,0,0,0,0,0,0,c7c5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_282.npy
2r1k2r/pp2pp2/2n4p/q4Np1/3bQ1P1/2P4P/PP3P1B/R3K2R b KQk - 1 23,1,0,1,1,0,0,0,0,0,1,d4e5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_283.npy
7r/p2k3p/3b2n1/3p4/6P1/2P2P1P/PPb1P3/RN2KB1R w KQ - 1 18,0,0,1,0,0,0,0,0,0,0,e1d2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_284.npy
r1b2rk1/1p1q1pbp/pBnp2p1/3NN3/2P1n3/6P1/PP3PBP/R2QK2R b KQ - 0 13,0,1,1,1,0,0,0,0,0,0,c6e5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_285.npy
r1bqkb1r/ppp2ppp/2n5/4p3/8/1QnP1N2/PP2PPPP/R1B1KB1R w KQkq - 0 7,0,1,1,1,0,0,0,0,0,0,b2c3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_286.npy
r1bq1rk1/pp1pbp1n/2n4p/4pN2/2B1P3/P1N3Q1/1PP2PPP/R3K2R b KQ - 1 12,1,0,1,1,0,0,0,0,0,0,e7g5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_287.npy
2kr1bnr/pbpp1ppp/1pn5/4P3/1q2PB2/3B1N2/PPP1QPPP/RN2K2R w KQ - 5 8,0,1,1,1,0,0,0,0,0,0,c2c3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_288.npy
rn3rk1/pp1b1ppp/4pq2/1B6/3P4/8/PPP1QPPP/R3K1NR w KQ - 0 11,0,0,1,1,0,0,0,0,0,0,g1f3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_289.npy
rn3r2/p1qn1ppk/2p1p3/1p2P1N1/Pb1P4/8/3N1PPP/R2QK2R b KQ - 1 19,0,0,1,1,0,0,0,1,0,0,h7h6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_290.npy
rn2k1nr/ppp2ppp/3p1q2/2bPp3/4P1b1/2N2QP1/PPP2P1P/R1B1KBNR w KQkq - 3 7,0,0,1,1,0,0,0,0,0,0,f3g2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_291.npy
r1b1kb1r/pp1n2pp/1qpNpn2/6N1/8/8/PPPBQPPP/R3K2R b KQkq - 1 12,1,0,1,1,0,0,0,0,0,0,f8d6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_292.npy
r2qk2r/pp3ppp/5n2/2Q5/2p3b1/4P3/PP3PPP/RN2KB1R w KQkq - 0 12,0,0,1,1,0,0,0,0,0,0,b1c3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_293.npy
rn4rk/1p2R1Qp/2pB4/p7/3P1P2/2P4P/2q3P1/6KR b - - 0 26,0,0,1,1,0,1,0,0,0,0,g8g7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_294.npy
rnbqkb1r/ppppp3/5p2/5p1p/3PP3/8/PPP1BPPP/RN1QK1NR b KQkq - 1 5,0,0,1,1,0,0,0,0,0,0,f8h6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_295.npy
rnbq1rk1/pp2b1p1/3ppn1p/2p5/2P1P2B/2N2N2/PP3PPP/R2QKB1R b KQ - 3 9,0,1,1,1,0,0,0,0,0,0,b8c6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_296.npy
rn1qkb1r/pp2pppp/5n2/3N1b2/2B1pB2/8/PPP2PPP/R2QK1NR b KQkq - 0 7,0,0,1,1,0,0,0,0,0,0,f6d5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_297.npy
rn1qk2r/pp3ppp/2p2n2/3P1b2/1b1Pp3/1QN2PP1/PP2P1BP/R1B1K1NR b KQkq - 2 8,0,0,1,1,0,0,0,0,0,0,d8b6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_298.npy
r1bq1b1r/pp1npkpp/2p5/7Q/3P4/2P5/P1P2PPP/R1B1KB1R b KQ - 1 9,0,0,1,1,0,0,0,0,0,0,g7g6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_299.npy
r1b1k1nr/pppp1ppp/1q6/4P3/1N1b4/1R6/P1PBPPPP/3QKB1R w Kkq - 1 12,0,0,1,1,0,0,0,0,0,1,e2e3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_300.npy
rn2k1nr/pp3pp1/2pqp1p1/3p4/3P4/3BP3/PPP2PPP/RN1QK2R w KQkq - 0 9,0,0,1,1,0,0,0,0,0,0,h2h3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_301.npy
r2q1rk1/p1p2ppp/2pP4/6n1/3Q4/B1PB3b/P1P2PPP/R3K2R w KQ - 3 13,0,0,1,1,0,0,0,0,0,0,e1f1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_302.npy
rn1qkbnr/1b1ppppp/8/p1p3B1/Pp2P3/1B1P1N2/1PP2PPP/RN1QK2R b KQkq - 1 7,0,0,1,1,0,0,0,0,0,1,d8c7,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_303.npy
2k5/ppp4p/8/q7/3p4/1P1Pp3/P1P1Q3/R2K1r2 w - - 0 29,0,0,1,1,0,1,0,0,0,1,e2f1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_304.npy
r1b2r2/ppp1n1k1/2n1p1q1/4P1N1/2P4Q/1R6/P2B1PPP/4K2R b K - 8 21,0,1,1,1,0,0,1,0,0,0,e7f5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_305.npy
rnb1k2r/ppp1npp1/3p1q1p/8/1bBPP3/2N2N1P/PP3PP1/R1BQK2R w KQkq - 2 9,0,0,1,1,0,0,0,0,0,0,e1g1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_306.npy
r1b1kbnr/pp3ppp/2n1p3/3pP3/4q3/1P3N2/P2BQPPP/RN2KB1R b KQkq - 3 10,0,1,1,1,0,1,0,0,0,0,e4e2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_307.npy
r1b2rk1/ppN2pp1/3p3p/8/2P1n2q/4PP2/PP4PP/R2QKB1R w KQ - 1 16,1,0,1,1,0,0,0,0,0,1,g2g3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_308.npy
r1b1k2r/pp1n1ppp/4p3/q1Pp4/1bP4B/PQn1PN2/1P3PPP/R3KB1R b KQkq - 0 11,0,0,1,1,0,0,0,0,0,1,b4c5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_309.npy
r2q1rk1/ppp1b1pp/1nnp4/6P1/3PPP2/2N1B2Q/PPP4P/R3K2R b KQ - 6 14,0,0,1,1,0,0,0,0,0,0,d6d5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_310.npy
rnbqk2r/p1p2ppp/1p2pb2/8/4N3/2PP1Q2/PP3PPP/R3KBNR b KQkq - 1 8,0,0,1,1,0,0,0,0,0,0,c7c6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_311.npy
5r2/1br3nk/p5p1/R3P2p/1p6/1P4PR/1P1Q1P1P/6K1 w - - 1 31,0,0,1,0,0,0,0,0,0,0,a5a1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_312.npy
rn2kb1r/ppq1pppp/2p2n2/2Pp1b2/3P1B2/1QN2N2/PP2PPPP/R3KB1R b KQkq - 2 7,0,0,1,1,0,0,0,0,0,0,c7c8,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_313.npy
r1b1kbnr/pp3ppp/1qn1p3/3pP3/1P1P4/P7/5PPP/RNBQKBNR b KQkq - 0 7,0,1,1,1,0,0,0,0,0,0,b6d4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_314.npy
r3kb1r/pp1b1ppp/1q1p1n2/2p1p3/1nP5/1QN1PNP1/PP1P1P1P/R1B1KB1R w KQkq - 7 9,0,1,1,1,0,0,0,0,0,0,d2d3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_315.npy
r3kbnr/3bqppp/pppp4/n2Q2N1/4PB2/2N5/PPP2PPP/R3KB1R w KQkq - 0 11,0,1,1,1,0,0,0,0,0,0,d5d4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_316.npy
r1b2b1r/ppQ3pp/8/2kqp3/8/N2P4/PP3PPP/n1B2K1R b - - 0 15,0,0,1,1,0,0,0,0,0,0,d5c6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_317.npy
rn1qkb1r/1p2pppp/p1p5/3p1b2/3PnB2/2NBPN2/PPP2PPP/R2QK2R w KQkq - 2 7,0,0,1,1,0,0,0,0,0,0,d3e4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_318.npy
r2qkbnr/p1p1pppp/n3P3/1b1P4/2p5/5Q2/PP3PPP/R1B1KBNR b KQkq - 0 10,0,0,1,1,0,0,0,0,0,0,g8f6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_319.npy
r1b1k2r/ppppn1pp/2n2pq1/2b1p3/2B1P2B/2PP1N2/PP1N1PPP/R2QK2R b KQkq - 1 8,0,0,1,1,0,0,0,0,0,0,c6a5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_320.npy
r1b1kb1r/p2ppppp/2p2n2/8/2NqP3/5P2/P1PB2PP/R2QKB1R b KQkq - 0 10,1,1,1,1,0,0,0,0,0,0,c8a6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_321.npy
r1bq1b1r/ppk2B1p/2npQn2/3Np3/4Ppp1/8/PP1B1PPP/R3K1NR b KQ - 7 14,0,0,1,1,0,0,0,0,0,0,f6d5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_322.npy
r2qkb1r/3n1ppp/5P2/pbPp4/1P3B2/P3P3/5PPP/R2QK1NR w KQkq - 0 13,0,1,1,1,0,0,0,0,0,0,g1e2,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_323.npy
r1b1k2r/p2pnppp/2p5/q1b4Q/2B1P3/8/PP3PPP/RNB1K2R w KQkq - 4 10,0,0,1,1,0,0,0,0,0,1,e1f1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_324.npy
r4bnr/pb1k2pp/4pp2/3p4/3P4/2NN3P/PP3PP1/R1B1K2R b KQ - 3 14,1,0,1,0,0,0,0,0,0,0,b7a6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_325.npy
rn1q2k1/p1pprppp/bp3n2/3Pb1B1/8/2N2Q2/PPP1PPPP/R3KBNR w KQ - 9 12,0,0,1,1,0,0,0,0,0,0,d5d6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_326.npy
r2q1rk1/1ppb1ppp/2np1n2/p1bN4/2PP4/P1Q2NP1/1P3PBP/R1B1K2R b KQ - 0 13,0,1,1,1,0,0,0,0,0,0,f8e8,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_327.npy
rn1qkb1r/pb1ppppp/8/2p1P3/1nBP4/1Q3N2/PP3PPP/RNB1K2R b KQkq - 2 8,0,0,1,1,0,0,0,0,0,0,e7e6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_328.npy
6k1/3ppp1p/5bp1/1R1P4/2P5/r2Q4/q4PPP/4K1NR w K - 1 21,0,0,1,1,0,0,0,0,0,0,b5b8,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_329.npy
r1b2rk1/pp1nppbp/3p2p1/q1pP4/1nP1P3/P1N1BP2/1P1QB1PP/R3K1NR w KQ - 1 11,0,1,1,1,0,0,0,0,0,1,a1c1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_330.npy
r3k1nr/pp3ppp/2n5/3q4/1Q1p2b1/2N2N2/PP2BPPP/R1B1K2R b KQkq - 0 10,1,0,1,1,0,1,0,0,0,0,c6b4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_331.npy
rnbR1r2/p4pkp/2p1p2N/1p3p1Q/P1p2q2/2P5/4BPPP/4K2R b K - 3 18,0,0,1,1,0,0,1,0,0,0,f4c1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_332.npy
r1b2rk1/ppp3pp/4p3/3pPp2/3Pn2q/2PB1P2/PP1N2PP/R2QK2R w KQ - 1 12,0,1,1,1,0,0,0,0,0,1,g2g3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_333.npy
r2qkb1r/2p2p1p/p2p3p/1p2N3/3nP1b1/1BNP4/PPP2PPP/R2QK2R b KQkq - 0 10,0,0,1,1,0,0,0,0,0,0,d4b3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_334.npy
r1b2rk1/pppp1pp1/5n2/4q1N1/1b2N2Q/8/PPnB1PPP/R4K1R b - - 5 15,0,0,1,1,0,1,0,0,0,0,e5f5,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_335.npy
3rk2r/ppp2ppp/5n2/1P3P2/8/2P1q3/1nQNB1PP/R4K1R w k - 2 17,0,0,1,1,0,0,0,0,0,0,d2b3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_336.npy
r1bq1rk1/ppp2ppp/2n1p3/1B1p4/3Pn3/1Pb1PN2/PB1N1PPP/R2QK2R w KQ - 0 9,0,0,1,1,0,0,0,1,0,0,d1c1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_337.npy
rn1qk2r/ppp1bppp/3p4/3npbB1/2P1P3/5N2/PP3PPP/RN1QKB1R b KQkq - 0 7,0,0,1,1,0,0,0,0,0,1,f5c8,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_338.npy
1r5r/1b1kp1bp/4p1p1/1p6/4PP2/P1p1qN1Q/4N1PP/2R1K2R b K - 2 24,0,1,1,1,0,1,0,0,0,0,e3e4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_339.npy
r2qkbnr/pp2pppp/2n5/1Bp5/3pP3/5QNP/PPPP1PP1/R1B1K2R w KQkq - 3 10,0,1,1,1,0,0,0,0,0,0,b5c6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_340.npy
rnbqr1k1/pp3ppp/3p4/2pP2B1/1b2n3/2NB1N2/PP3PPP/R2QK2R w KQ - 0 10,0,0,1,1,0,0,0,0,0,0,d3e4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_341.npy
6k1/1p3pp1/p2P1n1p/3pr3/3b2b1/PBNP4/1PPB2PP/R4K1R w - - 2 18,1,0,1,0,0,0,0,0,0,0,d2f4,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_342.npy
r2qk2r/1p3p1p/p2pb3/4nP2/5B1b/1N5P/PPPQ2P1/R3KB1R w KQkq - 1 15,1,0,1,1,0,0,0,0,0,0,e1d1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_343.npy
2kr1b1r/p1p1p1p1/2p1q3/5p1p/Q2P4/2P1B3/PP3PPP/R3K2R w KQ - 0 15,0,0,1,1,0,0,0,0,0,0,e1c1,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_344.npy
r1bqr1k1/pp3pb1/3pp2p/2B1N1p1/8/2PP4/P1P1QPPP/R3KB1R w KQ - 0 15,0,0,1,1,0,0,0,0,0,0,c5e3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_345.npy
r2qk2r/pp1nbNpb/2p1pn1p/8/2BP1P2/2P3N1/PP2Q1PP/R1B1K2R b KQkq - 0 12,1,1,1,1,0,0,0,0,0,0,h7d3,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_346.npy
r1bqkb1r/2p1n1pp/ppP1pn2/1P1pNpB1/3P4/4P3/P4PPP/RN1QKB1R b KQkq - 0 11,0,0,1,1,0,0,0,0,0,0,e7g6,0,/content/drive/Shareddrives/CS229/searchless_chess/data/concept_data/npys/stockfish_input_tokens/stockfish_boolean_concepts_primary_layer_outputs_347.npy
