,Position,Undermining,Open,Knight Outposts,Square Vacancy,Bishop vs Knight,Re-Capturing,Offer of Simplification,Advancement of f/g/h Pawns,Advancement of a/b/c Pawns,Simplification,Activity of the King,Center Control,Pawn Play in the Center,Queens and Rooks to the 7th Rank,Avoid Pointless Exchange
"""Rh8=10, Ra8=1, f5=1""",3r4/3pkpp1/4p3/2p3q1/6r1/1P6/P5B1/2R1RQK1 b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rc8=10, Rc6=6, Re8=6""",3r4/3q2bk/3rp1p1/1p5p/4QP2/R1Pp2P1/P2B1R1P/6K1 b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Qh5=10, Bb6=2, Qd5=2""",3r4/p2rppk1/2R3p1/4q3/3b4/PP4P1/2QRNP2/5K2 b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bc3=10, b4=8, f5=4""",3rr1k1/1p2bppp/p1p5/P2P3q/2B1PPb1/1P1R4/3B1QP1/4R1K1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Ba3=10, Ra2=5, h3=5""",3rr1k1/pp2q1bp/n1p1P1p1/5p2/P2N1Pb1/1BP5/6PP/R1B1QRK1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bd7=10, Bd8=8, Rg8=1""",4b2k/1q2bprp/pr6/3pP3/2pP4/P4N2/1P3RPQ/3N1RK1 b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rd1=10, Re1=9, Re3=5""",4k2r/p2n3p/4q1pQ/1p2b2P/8/P1P2R2/1P4P1/K4R2 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rd2=10, Be1=9, Ra2=9""",4qrk1/pb4p1/2p1p2p/PpP1Pr2/1P2QP1R/2B3P1/6R1/6K1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rb1=10, Qf4=5, Re2=2, Re2=5""",4r1k1/3q1ppb/2p5/2Pp1P1p/p2P3P/P3P1PB/5Q1K/4R3 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bg6=10, Qg5=1, Rd1=3, a5=4""",4r1k1/pbq2rpp/1p2p3/4P2P/P1p4Q/1nP1B3/R1B2PP1/1R4K1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rc1=10, Ra6=7, d4=6""",4r1k1/R5p1/4b2p/1p2P3/7P/P1nP4/6PK/4R3 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rbe2=10, Rf3=4, Rxf6=3, a5=3, h3=4, h4=3""",4r2k/1pp1n1pp/pb3r2/6Nq/P2P4/2PQ2P1/1R3RKP/2B5 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Ba6=10""",4rrk1/1b3pp1/1q3b1p/p2p1P2/3N4/2P3N1/1P3QPP/1R3R1K b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bd4=10""",5b2/1p1q3n/pB1p2k1/P4N1p/6pP/4R3/6P1/5RK1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bb4=10, Qa2+=2, Qb2+=2""",5k2/ppQbbp1p/8/5p2/P7/1P6/4KPPP/q4B1R b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rb1=10, Qd3=6, Rd1=7""",5r1k/6p1/p1n1pr1p/2P1p2q/P5RN/4Q2P/5PP1/2R4K w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rd8=10, Qb4=6, Qe5=5""",5rk1/p3qpb1/1p5p/5Q2/P7/1B2P3/1p3PPP/5RK1 b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Re1=10, Qe3=4, a4=3""",5rk1/p7/1n1q1p2/1Prp1pNp/8/5NPP/P2Q1PB1/5RK1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bf3=10, Bd1=2, Be3=7""",5rk1/pp4p1/5rnp/3p1b2/2p2P2/P1P3P1/2P1B2P/R1B1R1K1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Ra3=10, Kh2=6, Rb3=4""",5rrk/pR4p1/3p2q1/P6p/2Q1pn2/7P/1PP2PP1/R3N1K1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bc8=10""",6k1/1b3p2/p2q2p1/P2Pp2p/1p2Pb1P/1Br5/Q4PP1/3RN1K1 b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Be3=10, Bc3=5, g3=5""",6k1/1q3rpp/5n2/Rp2r3/4p3/1B5P/3BQPP1/6K1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Qa3=10, Qa2=6, Qc3=7""",6k1/1q5p/5np1/pb1pNp2/3P1B1P/1Q6/1P2PP2/6K1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rb4=10, R6a5=8, Ra8=8""",6k1/2q4p/r3b1p1/2P1p3/r7/4QP2/p1RN2PP/R5K1 b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bc8=10, Bb8=5, Rc4=7""",6k1/pb4p1/1p1b2q1/1P1p3p/3Pn3/P1r2N1P/4QPB1/2B1R1K1 b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Qd4=10, Bb5=9, Qb8=6""",6k1/q4p2/2b1p2p/4Pp2/pP3N2/Q4PP1/6KP/8 b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bh3+=10, Nxd5=6, Nxe4=6""",6r1/1R6/1bp1knp1/pp1n3p/4pP1P/1PN3B1/1P3PB1/5K2 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rh8=10, Bd8=7, Be8=7, g5=7""",6r1/4bbk1/p3p1p1/Pp1pPp2/3P1P2/2P2B2/3B2K1/1R6 b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rc8=10""",6rk/1n4bp/p3R2r/1p1P1Pp1/1P6/P1pB2P1/5P2/2R3K1 b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bg5=10, Ba3=5, Bf4=4""",8/2b1rk2/2b1p1p1/5n2/p1pP2Q1/2p3P1/P4P2/2B1RK2 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Qf5=10, Kh6=3, g4=5""",8/3q1pk1/3p4/2pB2p1/P2n4/1P4BP/6P1/4R1K1 b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rh1=10, Bd3=5, Rd4=6""",8/3r1k2/2p3p1/1pPb1p2/p7/P1B2P2/4BK2/3R4 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Qb1=10, Ba1=5, Bb2=5""",8/5r1k/p3b1pp/4p1q1/P3Pn2/2B1N2P/3R1PPK/3Q4 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rg7=10, b5=3""",8/5r2/1pp2p1R/p3n3/4Pp1p/2P2P1k/4K2P/R7 b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rd6=10, Nd7=5, Nf7=7""",8/p1r3kp/r3p1p1/PRp1n1P1/7R/8/4K2P/7B b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bb5=10, Kg6=5, Kh8=3, h5=3""",8/p1rb3k/1p1b1p1p/3q1p2/1P1P4/P1n1PPP1/3N3P/R1R2Q1K b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bh6=10""",b1r3k1/3n1pb1/p2q2p1/P2Pp2p/1p2P2P/1Rr1NN2/Q1B2PP1/3R2K1 b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bg4=10, Rd1=1""",b2r4/3qk3/1p1pp3/pN4b1/P3Pp1p/2P5/4BQPP/5R1K w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rfb1=10, Rfe1=7, a6=7""",q1b2k2/5ppp/2n5/P1N1n3/8/2PpB1P1/3N1P1P/R4RK1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rfe1=10, Qc1=7, Qd2=6, h3=7""",r1b2r1k/1p2qpb1/1np3pp/p7/3P4/PBN2N2/1PQ2PPP/3R1RK1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bg4=10, Bf5=9, Ra5=8""",r1b2rk1/4bpp1/7p/1B1pP3/3B4/8/1PP3PP/2KR3R b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Re1=10, Nxc8=7, Qd3=7""",r1b2rk1/pp3pb1/1npN1qpp/2P5/1PBp4/P4NPP/5P2/2RQ1RK1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bd3=10, Be3=4, Kb1=2""",r1b3k1/4brp1/p6p/1p1p4/3B4/8/PPP3PP/2KR1B1R w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Be6=10, a6=2""",r1b3k1/pp2qrpp/1n6/1Bb1Pp2/3p1P2/7Q/PP1BN1PP/R3K2R b KQ -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Ba3=10, Qg3=4""",r1b3kr/p3qpp1/1pn1p2p/3pP2P/7n/3B3Q/2P2PPN/1RB1R1K1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Be6=10, Bf5=3, b4=4""",r1br2k1/p4p2/1qp4p/1p2P1p1/6n1/5NP1/PP2QN1P/R1B2BK1 b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bf5=10, Bf3=3, Bxf6=3, f3=2""",r3r1k1/1b3ppp/2p2n2/1p2b1B1/4P1B1/P6P/1PQ1NPP1/6K1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bf1=10, Bf3=5, Rdc2=6""",r3r1k1/2q2pp1/1pp2np1/4p3/nP2P1P1/P3Q2P/3R1PB1/B1R3K1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bf4=10, Kg2=7, Rd1=7, f6=6""",r3r1k1/ppn2ppp/2p5/5P2/P7/2N4P/1PP5/R1B2RK1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bc5=10, c3=7, c4=7""",r3r2k/2R4p/3B2b1/p7/1p2p3/6PP/PPP4K/4R3 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rb1=10, Kg2=3, Qc1=3, Ree2=3""",r4qk1/1p3rbp/3p1np1/2pPp3/b1P5/P1NBBPP1/3Q1R1P/4R1K1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Re2=10, Be2=2, fxg6=4""",r4rk1/1p2pp1p/3p1np1/q2P1P2/2P3BQ/pP5R/P1R3PP/7K w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Qe1=10, Bg5=4, Rh3=5""",r4rk1/1p2ppbp/1q1p2p1/p1nP1P2/2P3B1/5R2/PPRB2PP/1Q5K w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rgd1=10""",r4rk1/5pb1/2p3pp/pp2n3/1n3B2/1PN1PP1P/1P2BPK1/2R3R1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rfb8=10, Rf6=6, c5=8""",r4rk1/6b1/2p1N1p1/8/p2p3R/8/R4P1P/5K2 b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rad8=10, Nd5=5, Rfd8=6""",r4rk1/ppp1qp1p/1n4p1/4P3/6Q1/1N6/PP3PPP/2R1R1K1 b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rd1=10, Be3=1, Rc1=8, b4=1""",r5k1/p1q2pbp/Ppp1bnp1/4p1B1/Q1P1P3/2N4P/1P2BPP1/5RK1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Qe2=10, Nxf7=8, Qd3=7""",r5k1/p4nbp/2qN2p1/2P2p2/3p1B2/6P1/P2Q1P1P/3R2K1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Bf5=10, Kf6=6, Kf8=5""",r7/3b1pk1/6p1/3Pp2p/2P4P/p4B2/5PP1/2R3K1 b - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Rae1=10, Rfe1=5""",rbbrqnk1/pp3pp1/2p2n1p/5N2/3P1P2/1BN4P/PPQB2P1/R4RK1 w - -,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"""Nd7=10, Bc5=8, Bc6=2, Be7=7""",1k2r2r/1bq2p2/pn4p1/3pP3/pbpN1P1p/4QN1B/1P4PP/2RR3K b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Ne5=10, Nd4=8, Ra1=6, b5=9""",1q2bn2/6pk/2p1pr1p/2Q2p1P/1PP5/5N2/5PP1/4RBK1 w - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Ne4=10, Bxa3=6, Nb6=6""",1r1q1rk1/1b1n1p1p/p2b1np1/3pN3/3P1P2/P1N5/3BB1PP/1R1Q1RK1 b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nd5=10, Ba8=8, Kg7=8, a5=9""",1r1r1bk1/1bq2p1p/pn2p1p1/2p1P3/5P2/P1NBB3/1P3QPP/R2R2K1 b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nd4=10, Qf6=5, bxc4=3, h4=3""",1r1r2k1/5pp1/p2p4/1p2pnqp/1BP1Q3/PP1R2P1/5P1P/3R2K1 b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nd4=10, Nd3=1, c4=4, f4=9""",1r1r4/R3pk2/4n1p1/2p2p2/8/4B3/Pn2BPPP/5RK1 b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nd7=10, Bh6=6, a6=6""",1r2k2r/pp2ppb1/2n2np1/7p/4P3/P3BB1P/1P1N1PP1/R2R2K1 b k -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nd2=10, Bc1=6, Qe2=9, Rb2=2""",1r2qrk1/3bn3/pp1p3p/n1p1p1p1/P1P5/B1PP1NPP/2Q2PB1/1R2R1K1 w - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nfe6=10, Ka1=4, Nf5=6, Qxa6=2, Rc3=3, h6=3""",1r2r2k/2b2q1p/p4p2/3Pn2P/3N1N2/1P2R3/4Q3/1K1R4 w - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nd1=10, Na2=3""",1r3rk1/8/3p3p/p1qP2p1/R1b1P3/2Np1P2/1P1Q1RP1/6K1 w - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nc8=10, Bg8=8, Kg8=8, Nd7=4""",1r6/1q2b1k1/pn1pb3/B1p1p1pp/2P1Pp2/NP3P1P/1R2Q1PN/6K1 b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nxe5=10, Nxe4=8, Rxe5=7""",1r6/2qnrpk1/2pp1np1/pp2P3/4P3/PBN2Q2/1PPR1PP1/3R2K1 b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nb5=10, Kh2=5, Rc2=7""",1rr2qk1/3p1pp1/1pb2n1p/4p3/p1P1P2P/P1NQ1BP1/1P3PK1/2RR4 w - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Ne4=10, Rac1=1, Rd2=3, b4=3""",2b2rk1/1r1nbppp/4p3/1p2P3/p4P2/P1N1B3/BPP4P/R2R2K1 w - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nd5=10, Ba4=8, Kg3=7""",2b3n1/6kp/p1nB1pp1/8/1p2P1P1/4NP2/PP3K2/3B4 w - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nb5=10, Kc1=7, Rc4=8, h4=9""",2b5/2p1r2k/1pP2q1p/p2Pp3/4R3/1PN1Q2P/P2KP3/8 w - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nd3+=10, Kc7=9, Ne6=9""",2k3r1/1b2bp2/2p2n2/ppn1p1Bp/2p1P2P/P4B2/1P1RN1P1/4K2R b K -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nb5=10, Be2=8, Nd5=9, fxg6=8""",2r2r1k/p3ppbp/qpnp2pn/5P2/2P1PP2/P1N1BB2/1PQ3RP/3R2K1 w - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nf5=10, Bb1=5, Qe2=5, Qf3=5""",2r2rk1/4bpp1/p2pbn1p/Pp2p3/1Pq1P2N/2P4P/1BB2PP1/R2QR1K1 w - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Ne7=10, Qc7=9, Qd8=8""",2r3k1/3q1pp1/ppr1p1np/4P3/P1nPQ3/5N1P/5PPK/RRB5 b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Ne4=10, Nb3=8, f4=7""",2r3k1/p1r1qpb1/1p2p1p1/nR2P3/P2B4/2P5/3NQPP1/R5K1 w - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nd5=10, Bg5=6, Qc7=6, Qe8=6""",2rq1rk1/1p2b1p1/pn2p3/2p1Pn2/2pP3p/5N1P/PPQ2BP1/1BRR2K1 b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""STS(v3.1) Knight Outposts/Centralization/Repositioning.023""",r7/p1r2nk1/1pNq1np1/1P1p1p2/P2Qp3/4P1P1/2R1P1BP/2R3K1 b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nh4=10, Ra2=5, Rab1=6, g3=6""",2rq2k1/3nbppp/pprp1nb1/4p3/P1P1P3/1PN1BN1P/2Q1BPP1/R2R2K1 w - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nd7=10, Qa5=7, h6=7""",2rqr1k1/1p2bppp/p2p1n2/3P1P2/2Pp4/1P1B4/P3Q1PP/R1B2RK1 b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Ne4=10, Na4=9, f3=9, h3=9""",2rr4/Bp3k1p/5pp1/8/2n3b1/P1N5/1PP2PPP/R1R3K1 w - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nb3=10, Rf6=9, Rg6=9""",3R4/5pk1/2p4r/1p2p1p1/p3P1P1/P1P2P2/1P2B1K1/n7 b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nf4=10, Qd7=5, c6=6""",3q3r/2p2pk1/6p1/2p1p1Pn/1pBnP3/1P2BP1R/P5Q1/7K b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nb5=10, Rdb1=5""",3r1bk1/1rq2p2/2npb1p1/p3p2p/2P1P2P/1PN3P1/2N1QPBK/R2R4 w - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nb5=10, Qe3=5, Qh4=8""",3r1rk1/1p4bp/2qPp1p1/p3n3/P2BN3/1PN4P/2PR2P1/4Q1K1 w - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nd5=10""",3r2k1/2q2ppp/p1p1bn2/1p2b1B1/4P3/1PN2B1P/P1Q2PP1/2R4K w - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Ne6=10, Kf8=5, Kh7=4, Rd7=4""",3r2k1/4qpn1/R2p3p/1Pp1p1p1/1rP1P1P1/6P1/3Q1P2/4RBK1 b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nd4=10, Kg8=8, Nhf4=8""",3r4/2p2pk1/2q1n1p1/2p1p1Pn/1pB1P3/1P2BP2/P6R/4Q1K1 b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nd4=10, Bb8=4, Kh8=3""",3r4/bp1r2pk/p3npqp/P2Np3/1PR1P2B/5Q1P/2P3P1/5R1K b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nd4=10, Bc8=2, Bf5=2, c4=2""",3r4/r1pb3p/1p4kB/2p3P1/4pP2/1P2NnKP/PR3R2/8 b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Ne3=10, Bd4=3, Rb8=7, Rc8=6""",3rb1k1/4qpbp/1p2p1p1/1P3n2/Q1P2p2/2N2B1P/6PK/1NR2R2 b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nb4=10, Ne3=9, Qh5=9, b4=2""",3rr1k1/1p3ppp/p1q2b2/P4P2/2P1p3/1P6/2N1Q1PP/4RR1K w - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Ne5=10, Bxh4=7, Nf8=7, g6=7""",3rr1k1/pb1n1pp1/2q2b1p/2p5/2P1p2N/1P2B1P1/P1QR1PBP/3R2K1 b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nf4=10, Kf7=3, Qa6=2, a5=4""",3rr3/p3b1kp/2p2pp1/1q1np3/4Q1PB/1NP5/PP3P1P/R2R2K1 b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nd4=10, Bd3=5, Rad1=3, e6=4""",4b1nk/p1r1p1rp/Bpq5/n3Ppp1/8/5N1P/2P2BPQ/R3R1K1 w - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Ng5=10, Qd2=3, Qg2=3, Rf2=4, Rh1=4""",4k2r/1r2np2/2q1p1p1/p2pP3/n1pP1PP1/1pP1NNK1/1P2Q3/R4R2 w k -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Ne5=10""",4n3/1p1b1pk1/2n5/rN4p1/1p1Np3/1B2P1P1/PP3PK1/2R5 b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nf3=10, Bxb5=3, f6=3""",4n3/1p1b1pk1/8/rNR1n1p1/1p1Np3/1B2P1P1/PP3PK1/8 b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Ne4=10, Kg1=1, Nd1=1, Rc8=7""",4nk2/p4rr1/1pRp3b/1P1Pp2p/1P5P/2NBpP2/4R1P1/5K2 w - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nd4=10, Qxc7=6, a4=4""",4r1k1/2pbqp1p/1r3p2/pP1p4/8/P1QBPN2/3P1PPP/4K2R w K -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Ne4=10, Kh1=8, Rb1=6, h3=7""",4r1k1/3q1pp1/3p1n2/rp2nP1p/3B1R2/2N5/2PQ2PP/4R1K1 w - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nd4=10, Nc5=6, Nxa5=8""",4r1k1/3r2p1/b1q2n1p/p7/Pp2P2Q/1N2BP2/1PP4P/2R1R2K w - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nfe4=10, Nd3=9, Nh7=9, Qd4=2, Rd8=1""",4r3/1p3pk1/2p2n1p/2n1qP2/5bPQ/P3pB2/2R5/1R3N1K b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nd2=10, Kg1=7, Qd3=2, h3=7""",4rrk1/p4pp1/1b1p3p/2pP4/6q1/5N2/PP3PPP/2RQ1R1K w - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nbd5=10, Kf7=7, Kg8=4, g6=3""",5k2/6p1/Bnp1p2p/5p2/3P1n2/2q2P2/7P/5RQK b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Ndc6=10, Kh1=1, Rb1=8, Rc1=8""",5r1k/2p3q1/1p1npr2/pPn1N1pp/P1PN4/R4PPP/4Q1K1/3R4 w - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nc4=10, Ke7=9, Rb8=9""",5r2/2r2kp1/3n1p2/1p1Pp2p/p3P2P/PnP4R/1BB2KP1/4R3 b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nf6+=10, Qf2=1, Qg3=4, h4=4""",5rk1/3nbp1p/2p1p3/2PpP1pN/3P2B1/q3PQ1P/6P1/5RK1 w - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nd5=10, Nd7=9, Qd7=9, Rgf6=9""",5rk1/6pp/pn1qp1r1/1p2R3/2pP1P2/P1P2Q1P/5P2/2B1R2K b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nd4=10, Bb2=2, Bd2=1""",5rk1/pb1qbppp/1p6/n1rpP3/7P/2P2NP1/P3QPB1/R1BR2K1 w - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nf5=10, Rd5=3""",6k1/3pbpp1/p3p2n/r3P2p/2rBNP2/2P3PP/P3R3/3R3K b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Ng4=10, Qf8=1""",6k1/p2b3n/1p2pn1q/3r1p2/5P1B/P5NR/1Q2B1P1/4K3 b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nc6=10, Kg8=8, Kh7=6, Qxe3+=6""",7k/Rb4r1/3pPp1q/1pp2P2/3n2BP/4N1K1/1P3Q2/8 b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Ne5=10, Bb5=4, h5=3""",8/1b5p/1p1rrkp1/p2p1p2/P2P3P/1R1B1N2/nP3PPK/3R4 w - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Ne8=10, Nxf3+=1, b5=3, b6=5""",8/1p2kp2/p3pn2/4n1p1/1P2P3/P1r1NB1P/5PPK/R7 b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nf4=10, Kf7=4, Kg7=2""",8/1q6/3pn1k1/2p1p1p1/2P1P1Pp/1rBP1p1P/2Q2P2/R5K1 b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Ne5=10, Kd7=5, Rb3=5""",8/2k2p2/pr1pbpn1/2p5/2P1P1P1/2P1KP1p/7P/R2N1B2 b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Ne8=10, Bb5=8, Kg6=7, Nf1+=8""",8/pB1b2k1/1p2pn2/5p2/5P1B/P7/3K1NPn/8 b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nb5=10, Be2=7, Kh1=3""",b1r2r1k/p2qp1bp/1p1pn1p1/8/1PP2P2/R1NBB3/P2Q2PP/5RK1 w - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nd1=10, Ne2=6, Qe3=4""",b4q2/1r5k/3p4/1p1Pn2B/1PpQP3/2N4P/6P1/B5K1 w - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nd5=10, Kg1=3, Qe2=1""",q3n3/2rp1ppk/2b4p/4p2P/p3P3/Pr2NBP1/1P1R1PK1/2R1Q3 w - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nxe4=10, Bxe4=3, Na4=7, Nxd4=7""",r1b1k1nr/pp2p1bp/1q1p2p1/2pP4/2Pnp3/2NB1N1P/PP1B1PP1/R2QK2R w KQkq -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"""Nf5=10, Bf6=2, Nxc4=3, Rd8=2""",r1b2r1k/pp3pbp/3n4/4p3/2N4R/2N5/PP3PPP/R1B3K1 b - -,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
